Category,Issue
Road/Street Issues,Street Cleaning/Sweeping
Road/Street Issues,Street Obstruction/Closure
Road/Street Issues,Utility Cut - Other
Road/Street Issues,Utility Cut - PWSA
Sidewalk Issues,Sidewalk
Sidewalk Issues,Sidewalk (city property)
Sidewalk Issues,Sidewalk (City Property)
Sidewalk Issues,Sidewalk Closure Violation
Sidewalk Issues,Sidewalk Obstruction
Sidewalk Issues,"Sidewalk, Damaged"
Sidewalk Issues,"Sidewalk, Damaged/DO NOT USE"
Sidewalk Issues,"Sidewalk, Damaged/DO NOT USE"
Sidewalk Issues,"Sidewalk, Lack of Snow/Ice Removal"
Sidewalk Issues,"Sidewalk, Lack of Snow/Ice Removal"
Sidewalk Issues,"Sidewalk, Obstruction"
Sidewalk Issues,"Sidewalk, Overgrowth/Obstruction"
Sidewalk Issues,"Sidewalk, Overgrowth/Obstruction"
Street Light,Street Light - Increased Wattage
Street Light,Street Light - Repair
Street Light,Street Light - Request
Street Light,Street Light Repair
Taxes,Amusement Tax
Taxes,EMT
Taxes,Parking Tax
Taxes,Payroll Expense Tax
Taxes,Property Purchase
Taxes,Real Estate Tax
Taxes,Side Yard Program
Traffic and Street Sign Issues,Traffic
Traffic and Street Sign Issues,Traffic Calming
Traffic and Street Sign Issues,Traffic Enforcement
Traffic and Street Sign Issues,"Traffic or Pedestrian Signal, Repair"
Traffic and Street Sign Issues,"Traffic or Pedestrian Signal, Request"
Traffic and Street Sign Issues,Traffic Shop 
Traffic and Street Sign Issues,Traffic Signal Request
Traffic and Street Sign Issues,Traffic Signals Surtrac
Tree Issues,Cited Root Prunes
Tree Issues,Dead Tree (3TB)
Tree Issues,Dead tree (Public property)
Tree Issues,Planting
Tree Issues,Pruning (city tree)
Tree Issues,Root prune (City tree buckling private sidewalk)
Tree Issues,Stump Grind/Removal
Tree Issues,Tree Fallen Across Road
Tree Issues,Tree Fallen Across Sidewalk
Tree Issues,Tree Issue (Private Property)
Tree Issues,Tree Removal
Tree Issues,Tree/Stump Removal
Unknown,City Source (CDBG)
Unknown,Illegal
Unknown,KNOWLEDGE BASE ARTICLES
Unknown,Medical Exemption - Tote
Unknown,New Request
Unknown,Other (please describe)
Unknown,Reject to 311
Utility Issues,Catch Basin Clogged
Utility Issues,Collapsed Catch Basin
Utility Issues,Hydrant
Utility Issues,Leak
Utility Issues,Manhole Cover
Utility Issues,Manhole Cover - Other
Utility Issues,Manhole Covers
Utility Issues,"Manhole Covers, PWSA"
Utility Issues,Meter (Water)
Utility Issues,No Water
Utility Issues,PWSA Billing or Shut Off
Utility Issues,Sewers
Utility Issues,"Sinkhole, PWSA"
Utility Issues,Utility Pole
Utility Issues,Water Main Break
Utility Issues,Water Pressure
Utility Issues,Wires
Vacant Building Issues,DO NOT USE (Vacant and Open Building)
Vacant Building Issues,Vacant and Open Building
Vacant Building Issues,Vacant Building (Residential)
Weeds/Debris,City Park
Weeds/Debris,Overgrown lot (3TB)
Weeds/Debris,Public Right of Way
Weeds/Debris,Weeds/Debris (Private Property)
